ID,Start time,Completion time,Email,Name,Last modified time,Question,Please select the appropriate consent statement below.,How do you usually ride your skateboard?,"With which foot forward do you do your highest ollies on a skateboard?
","When you skate an obstacle with transition like a bowl or a half-pipe, which foot forward feels most comfortable?
",What foot forward do you feel the most safe riding fast down a hill on a skateboard?,"When you snowboard, which foot forward do you feel most comfortable carving down the mountain with?
","When you surf, which foot forward do you feel most comfortable when you ride a wave?
",Almost all of my friends (more than 90%) share my same stance.,"One or more of my parents share my same stance when they skateboard, snowboard, and/or surf.
","My favorite skateboarder has the same stance as me.
","I started skateboarding with a different stance than the one I have now.
","In recent memory, I recall seeing skateboarding magazine ads or online posts in skate-
boarding, and I have tried to figure out what stance they are.","I have the same stance whether I skate any obstacle, snowboard any hill, or surf any wave.","Usually, when you write with a pen or pencil, which hand do you use?","Usually, when you throw a ball, which hand do you use?
","Which hand do you feel more control when swinging a hammer?
","Usually, when you kick a ball into a goal, which foot do you use?
","Usually, when you sweep a floor from the side, which foot seems more naturally in front?
","If you were to step on a guitar pedal, which foot would you use?
","To stand on a chair, which foot do you use to get up on the chair?
",Take a moment to test your preferred eye. 1) Stretch your arms out in front of you and 2) with your hands make an O shaped hole and 3) line up the O shaped hole to frame an object. Which eye do yo...,Take a moment to pinpoint an object in the distance and align your thumb over it. Which eye do you need to close to do so?,How many years have you been skateboarding,"In the last few years, how often do you skateboard?",What would your say your skateboarding expertise level is?,Gender:,Race (Mark ONLY one with which you MOST CLOSELY identify),Age,Ethnicity (Mark ONLY one with which you MOST CLOSELY identify):,Residence Locality (Mark ONLY one with which you CURRENTLY live),Identity Locality (Mark ONLY one with which you IDENTIFY as your home locality)
18,5/2/24 15:41:11,5/2/24 15:45:27,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Either right foot in front or left foot in front, equally    ",Always  Left,Mostly Right    ,Mostly Right    ,Mostly Left    ,I do not surf enough to know,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Agree,Disagree,Neutral,Always  Left,Always  Left,Always  Left,Always Right    ,Both Equally    ,Both Equally    ,Mostly Left    ,Right    ,Mostly Left    ,11-20 years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
19,5/2/24 15:43:20,5/2/24 15:47:30,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Neutral,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Right    ,Mostly Right    ,20+ years,Monthly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
20,5/2/24 15:43:43,5/2/24 15:48:01,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,Always  Left,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Mostly Left    ,Mostly Left    ,Right    ,Always Right    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
21,5/2/24 15:51:39,5/2/24 15:56:36,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Left    ,Right    ,Always  Left,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
22,5/2/24 15:53:09,5/2/24 15:56:49,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Strongly disagree,I do not know,Strongly disagree,Strongly disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
23,5/2/24 15:50:51,5/2/24 15:57:09,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Mostly Right    ,Always  Left,Both Equally    ,I do not surf enough to know,Neutral,I do not know,Agree,Disagree,Strongly Agree,Neutral,Always Right    ,Always  Left,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Left    ,Both Equally    ,5-10 years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
24,5/2/24 15:55:09,5/2/24 15:58:33,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Disagree,Disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Left    ,Always  Left,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,26-35,Hispanic or Latino,North America;,North America;
25,5/2/24 15:54:31,5/2/24 16:00:26,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Agree,Agree,Mostly Left    ,Always Right    ,Always  Left,Always Right    ,Mostly Left    ,Mostly Left    ,Always Right    ,Left    ,Always Right    ,11-20 years,Every other week,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
26,5/2/24 15:57:30,5/2/24 16:01:08,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Agree,I do not know,Agree,Strongly disagree,Strongly Agree,Agree,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Always  Left,Mostly Right    ,Mostly Left    ,Right    ,Both Equally    ,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
27,5/2/24 15:57:57,5/2/24 16:02:10,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Mostly Right    ,Right    ,Always  Left,5-10 years,Daily,Advanced (I can occasionally land complex tricks),Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
28,5/2/24 15:58:49,5/2/24 16:02:22,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Hispanic or Latino,North America;,North America;
29,5/2/24 15:59:03,5/2/24 16:04:31,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Always  Left,Mostly Left    ,Always  Left,Strongly disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Mostly Left    ,Mostly Left    ,Left    ,Always Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
30,5/2/24 16:02:23,5/2/24 16:05:18,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Neutral,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Right    ,Mostly Right    ,5-10 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
31,5/2/24 16:00:58,5/2/24 16:05:36,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Right    ,I do not surf enough to know,Neutral,I do not know,Neutral,Agree,Strongly Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Both Equally    ,Both Equally    ,Mostly Right    ,Both Equally    ,Right    ,Both Equally    ,20+ years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
32,5/2/24 15:57:09,5/2/24 16:05:56,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Both Equally    ,Left    ,Mostly Left    ,11-20 years,Daily,Expert (I can consistently land complex tricks),Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
33,5/2/24 16:03:26,5/2/24 16:07:23,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Both Equally    ,Mostly Right    ,Always Right    ,Mostly Right    ,I do not surf enough to know,Strongly disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Neutral,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Right    ,Always Right    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
34,5/2/24 16:03:38,5/2/24 16:09:00,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always  Left,Mostly Left    ,Right    ,Mostly Left    ,20+ years,Daily,Expert (I can consistently land complex tricks),Man,More than one race,21-25,Not Hispanic or Latino,North America;,North America;
35,5/2/24 16:03:49,5/2/24 16:09:35,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always  Left,Mostly Right    ,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Strongly disagree,Strongly disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Right    ,Right    ,Mostly Left    ,11-20 years,Weekly,Intermediate (I can occasionally land simple tricks),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
36,5/2/24 16:05:17,5/2/24 16:09:58,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Strongly disagree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Right    ,Always Right    ,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
37,5/2/24 16:07:11,5/2/24 16:11:09,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,Agree,Disagree,Neutral,Neutral,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Both Equally    ,Right    ,Mostly Left    ,11-20 years,Daily,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
38,5/2/24 16:06:23,5/2/24 16:11:23,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always Right    ,Mostly Left    ,Always  Left,Mostly Left    ,I do not surf enough to know,Neutral,Disagree,Agree,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Both Equally    ,Left    ,Mostly Left    ,3-5 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
39,5/2/24 16:06:16,5/2/24 16:13:58,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,I do not surf enough to know,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Agree,Neutral,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Right    ,Mostly Left    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Unknown or not reported,Europe;,South America;
40,5/2/24 16:07:41,5/2/24 16:14:11,anonymous,,,1/7/1997,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Disagree,Disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Right    ,Always  Left,11-20 years,Yearly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
41,5/2/24 16:10:57,5/2/24 16:14:52,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Mostly Right    ,Left    ,Both Equally    ,11-20 years,Daily,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
42,5/2/24 16:08:11,5/2/24 16:14:59,anonymous,,,5/5/1988,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always  Left,Mostly Left    ,Mostly Left    ,Always  Left,Disagree,I do not know,Agree,Strongly disagree,Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Both Equally    ,Left    ,Mostly Right    ,11-20 years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,,Not Hispanic or Latino,North America;,North America;
43,5/2/24 16:11:58,5/2/24 16:15:15,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,I do not surf enough to know,Neutral,Agree,Agree,Disagree,Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Always Right    ,Both Equally    ,Left    ,Always  Left,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
44,5/2/24 16:08:29,5/2/24 16:15:25,anonymous,,,,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Strongly Agree,Strongly disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Left    ,Left    ,Always  Left,11-20 years,Every other week,Advanced (I can occasionally land complex tricks),Man,More than one race,36-45,Hispanic or Latino,North America;,North America;
45,5/2/24 16:10:59,5/2/24 16:15:51,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,Always Right    ,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Mostly Left    ,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,Asia;
46,5/2/24 16:08:39,5/2/24 16:17:12,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Agree,Disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Left    ,Mostly Left    ,20+ years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
47,5/2/24 16:14:09,5/2/24 16:18:04,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,Agree,Strongly disagree,Neutral,Strongly Agree,Always  Left,Always  Left,Always  Left,Always  Left,Always Right    ,Always Right    ,Always Right    ,Right    ,Both Equally    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
48,5/2/24 16:03:00,5/2/24 16:18:34,anonymous,,,5/9/1999,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Agree,Disagree,Agree,Neutral,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Always  Left,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
49,5/2/24 16:15:59,5/2/24 16:19:41,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Neutral,I do not know,Agree,Disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Right    ,Mostly Left    ,Both Equally    ,Left    ,Always  Left,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
