consent,skate_stance,ollie_foot,bowl_foot,downhill_foot,snowboard_foot,surf_foot,friends_share_stance,parents_share_stance,fav_skater_share_stance,changed_stance,stance_awareness,consistent_stance,hand_write,hand_throw,hand_hammer,foot_kick,foot_sweep,foot_pedal,foot_chair,eye_test1,eye_test2,years_skate,freq_skate,expertise,gender,race,age,ethnicity,residence_locality,home_locality
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Mostly Left,Always Left,Always Left,Mostly Left,Always Left,Strongly disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Left,Always Left,Always Left,Always Left,Always Left,Mostly Left,Mostly Left,Left,Always Right,11.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,,Neutral,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Right,Mostly Right,5.0,Seasonal (summer),Intermediate,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,Mostly Right,,Neutral,I do not know,Neutral,Agree,Strongly Agree,Agree,Always Right,Mostly Right,Always Right,Both Equally,Both Equally,Mostly Right,Both Equally,Right,Both Equally,20.0,Monthly,Advanced,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Right,Both Equally,Left,Mostly Left,11.0,Daily,Expert,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Both Equally,Mostly Right,Always Right,Mostly Right,,Strongly disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Neutral,Disagree,Always Right,Always Right,Always Right,Always Right,Mostly Right,Always Right,Always Right,Right,Always Right,20.0,Seasonal (summer),Intermediate,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Left,Mostly Left,Right,Mostly Left,20.0,Daily,Expert,Man,More than one race,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Left,Mostly Right,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Strongly disagree,Strongly disagree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Right,Mostly Right,Right,Mostly Left,11.0,Weekly,Intermediate,Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,Mostly Left,Always Left,Strongly disagree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Mostly Left,Right,Always Right,20.0,Weekly,Expert,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,Mostly Left,Always Left,Disagree,I do not know,Agree,Disagree,Neutral,Neutral,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Both Equally,Right,Mostly Left,11.0,Daily,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Right,Mostly Left,Always Left,Mostly Left,,Neutral,Disagree,Agree,Disagree,Agree,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Left,Both Equally,Left,Mostly Left,3.0,Weekly,Intermediate,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Mostly Left,,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Agree,Neutral,Always Right,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Left,Right,Mostly Left,20.0,Weekly,Advanced,Man,White,26-35,Unknown or not reported,Europe;,South America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,I do not know,Disagree,Disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Both Equally,Right,Always Left,11.0,Yearly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Both Equally,Always Right,Mostly Right,Left,Both Equally,11.0,Daily,Sponsored/Pro,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Mostly Left,Always Left,Mostly Left,Mostly Left,Always Left,Disagree,I do not know,Agree,Strongly disagree,Agree,Disagree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Both Equally,Left,Mostly Right,11.0,Monthly,Advanced,Man,White,,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Mostly Left,,Neutral,Agree,Agree,Disagree,Agree,Disagree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Always Right,Both Equally,Left,Always Left,5.0,Weekly,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,,,Disagree,I do not know,Strongly Agree,Strongly disagree,Disagree,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Right,Mostly Left,Left,Always Left,11.0,Every other week,Advanced,Man,More than one race,36-45,Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,Always Right,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Left,Mostly Left,20.0,Seasonal (summer),Intermediate,Man,White,46-55,Not Hispanic or Latino,North America;,Asia;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Agree,Disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Mostly Left,Left,Mostly Left,20.0,Seasonal (summer),Advanced,Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Neutral,I do not know,Agree,Strongly disagree,Neutral,Strongly Agree,Always Left,Always Left,Always Left,Always Left,Always Right,Always Right,Always Right,Right,Both Equally,11.0,Weekly,Advanced,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Agree,Disagree,Agree,Neutral,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Mostly Left,Right,Always Left,11.0,Weekly,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,,Neutral,I do not know,Agree,Disagree,Neutral,Agree,Always Right,Always Right,Always Right,Both Equally,Mostly Right,Mostly Left,Both Equally,Left,Always Left,5.0,Weekly,Advanced,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Mostly Left,Always Left,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Strongly disagree,Strongly Agree,Always Right,Always Right,Always Right,Both Equally,Mostly Left,Mostly Right,Mostly Left,Left,Mostly Right,5.0,Yearly,Intermediate,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,,Disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Always Right,Mostly Right,Mostly Left,Right,Mostly Left,5.0,Every other week,Advanced,Man,Black or African American,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Mostly Right,Always Right,Always Right,,Neutral,I do not know,Strongly Agree,Strongly disagree,Neutral,Strongly Agree,Always Left,Always Left,Always Left,Always Left,Always Right,Mostly Right,Always Right,Right,Always Right,20.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Right,Mostly Left,Left,Mostly Left,11.0,Every other week,Intermediate,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,,Disagree,I do not know,Neutral,Strongly disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Both Equally,Always Right,Right,Mostly Left,11.0,Daily,Expert,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,I do not know,Agree,Disagree,Neutral,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Right,Always Right,Right,Always Right,3.0,Weekly,Intermediate,Woman,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Always Right,Both Equally,Both Equally,Right,Mostly Left,5.0,Weekly,Advanced,Man,White,21-25,Unknown or not reported,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,Agree,I do not know the stance of my favorite skateboarder,Disagree,Disagree,Agree,Always Right,Always Right,Always Right,Always Right,Both Equally,Always Right,Always Right,Right,Always Right,11.0,Weekly,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Mostly Left,Always Left,Always Left,Mostly Left,Always Left,Disagree,I do not know,Disagree,Strongly disagree,Agree,Disagree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Left,Mostly Left,Right,Mostly Left,20.0,Weekly,Advanced,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Neutral,Agree,Disagree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Both Equally,Neither,Mostly Left,20.0,Daily,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Mostly Right,Mostly Right,Always Right,Mostly Right,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Always Right,Mostly Left,Always Right,Always Right,Mostly Right,Always Right,Mostly Right,Left,Both Equally,3.0,Daily,Intermediate,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Mostly Right,Always Right,Always Right,Always Right,Disagree,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Always Right,Always Right,Right,Always Left,5.0,Weekly,Advanced,Woman,White,26-35,Not Hispanic or Latino,Europe;,Europe;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Always Left,Left,Always Right,20.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,Mostly Right,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Mostly Right,Both Equally,Left,Mostly Right,11.0,Monthly,Intermediate,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Always Right,Always Right,Always Right,Always Left,Both Equally,Always Right,Always Right,Right,Mostly Right,3.0,Weekly,Intermediate,Woman,Asian,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Right,Mostly Left,Always Left,Mostly Left,,Strongly disagree,Neutral,Neutral,Agree,Disagree,Neutral,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Mostly Left,Left,Mostly Left,20.0,Daily,Advanced,Man,Asian,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Strongly disagree,I do not know,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Right,Always Right,Mostly Right,Left,Always Left,3.0,Seasonal (summer),Advanced,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Neutral,Strongly disagree,Neutral,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Mostly Left,Right,Mostly Right,20.0,Yearly,Intermediate,Prefer not to say,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Both Equally,Always Right,Always Right,Right,Always Right,5.0,Weekly,Advanced,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Mostly Right,Mostly Right,Mostly Right,,Disagree,I do not know,Neutral,Disagree,Agree,Agree,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Neither,Mostly Right,20.0,Every other week,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Both Equally,Right,Always Left,11.0,Daily,Expert,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Mostly Left,Always Left,Always Left,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Strongly disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Always Left,Mostly Left,Left,Always Left,5.0,Seasonal (summer),Novice,Man,American Indian or Alaska Native,26-35,Hispanic or Latino,South America;,South America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Right,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Disagree,Disagree,Disagree,Agree,Always Left,Always Right,Always Right,Mostly Right,Mostly Left,Both Equally,Mostly Left,Left,Mostly Left,11.0,Monthly,Novice,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,,,Neutral,I do not know,Disagree,Strongly disagree,Agree,Neutral,Always Right,Always Right,Always Right,Always Right,Always Left,Always Right,Mostly Left,Left,Always Left,20.0,Weekly,Intermediate,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,,Disagree,Agree,Neutral,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Mostly Right,Left,Mostly Left,3.0,Weekly,Expert,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,,Disagree,I do not know,Agree,Strongly disagree,Agree,Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Mostly Right,Both Equally,Left,Always Right,20.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Mostly Left,Always Right,Always Right,,,Neutral,I do not know,Neutral,Strongly disagree,Strongly Agree,Neutral,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Always Right,Left,Mostly Right,20.0,Monthly,Advanced,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Mostly Left,Always Left,Agree,I do not know,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Mostly Right,Mostly Right,Right,Always Right,5.0,Never,Advanced,Man,Asian,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Neutral,I do not know,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Left,Always Left,Always Right,Mostly Left,Left,Mostly Left,20.0,Weekly,Intermediate,Man,White,46-55,Not Hispanic or Latino,Europe;,Europe;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Mostly Right,Mostly Right,,,Neutral,I do not know,Disagree,Disagree,Agree,Neutral,Always Right,Always Right,Both Equally,Always Right,Always Right,Always Right,Both Equally,Right,Mostly Left,3.0,Daily,Advanced,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Neutral,I do not know,Agree,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Always Left,Always Right,Mostly Left,Left,Always Right,20.0,Weekly,Sponsored/Pro,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
